date,content,lang,sourceLabel,hashtags,user.verified,user.created,user.location,,,,,,,,,,,,,,,,,,,,,
22/08/2021,If revolution happen in Malaysia for better and proper governance and if we happen to succeed then I am living in best era of Malaysian history and my life to have witness such a change LawanTetapLawan KerajaaanGagal LAWAN ismailsabrigagal,en,Twitter for Android,"['LawanTetapLawan', 'KerajaaanGagal', 'LAWAN', 'ismailsabrigagal']",FALSE,24/12/2011,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Kannnn LawanTetapLawan,und,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,KerajaaanGagal KerajaanGagal LawanTetapLawan,und,Twitter for iPhone,"['KerajaaanGagal', 'KerajaanGagal2', 'LawanTetapLawan']",FALSE,22/07/2021,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,akukeadilan No anwar no vote from us LawanTetapLawan,en,Twitter for Android,['LawanTetapLawan'],FALSE,28/07/2021,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Aku kibarkan bendera hitam dengan bendera Jalur Gemilang sekali nanti MKNJPM NotMyPM LAWAN LawanTetapLawan,in,Twitter for Android,"['NotMyPM', 'LAWAN', 'LawanTetapLawan']",FALSE,09/03/2021,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,MaisarraAnuar Betul dari tarikh anwar dipecat september tetap x berganjak dgn reformasi LawanTetapLawan,in,Twitter for Android,['LawanTetapLawan'],FALSE,30/06/2018,"Kemaman, Terengganu",,,,,,,,,,,,,,,,,,,,,
22/08/2021,Nope not going to tolerate racism I never spoke anything about race all I wrote was will we get a PM like Tunku Abdul Rahman Yg korang beriya iya nak jadi racist apa hal Bapa kemerdekaan pun korang boleh cakap not the model muslim I ve no words NotMyPM LawanTetapLawan,in,Twitter for Android,"['NotMyPM', 'LawanTetapLawan']",FALSE,21/12/2018,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,akukeadilan SelamatrahmatT LawanTetapLawan without anwaribrahim reformasi will die,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Why not LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,18/02/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Pihak yang MENANG LawanTetapLawan,in,Twitter for Android,['LawanTetapLawan'],FALSE,17/06/2009,Malaysia,,,,,,,,,,,,,,,,,,,,,
